,pais,popData2019,tasaCasos_max,tasaCasos_sum,tasaMuertes_sum,tasaMuertes_max,incidencia14dias_max,incidencia14dias_media,continente,che_2020,che_medio,codigo_pais,pais_cod,continente_cod,region,gasto_medio,gasto_2020,region_cod
177,Somalia,15442906.0,1.8649339703291596e-05,0.00029651155035198686,7.835312861452372e-06,5.180372139803221e-07,4.79184423,1.5847455734615385,Africa,,,SOM,177,0,,,,6
178,South_Africa,58558267.0,0.00023812180097474537,0.014702689203558569,0.00039748444058291545,9.768048634362763e-06,292.5445181,72.84106389992566,Africa,8.58,7.583809523809525,ZAF,178,0,AFR,463.77,489.64,0
179,South_Korea,51225321.0,2.010724344704448e-05,0.0008488770621857108,1.1459176605257389e-05,1.7569436021689353e-07,18.12189718,3.13694662694362,Asia,8.36,5.840000000000001,KOR,179,2,WPR,1451.814761904762,2642.41,5
180,South_Sudan,11062114.0,2.9198758935227028e-05,0.000289818022124885,5.604715337411999e-06,4.5199317237193543e-07,8.84098645,1.6675534772083334,Africa,5.25,6.1075,SSD,180,0,AFR,28.0375,33.23,0
181,Spain,46937060.0,0.001172186753921102,0.036870119261837024,0.0010146353435856444,3.457822028052034e-05,602.71776715,150.4597643755357,Europe,10.71,8.47809523809524,ESP,181,3,EUR,2325.455238095238,2900.65,3
182,Sri_Lanka,21323734.0,4.1174777363101606e-05,0.00153772317737597,7.128207470605289e-06,4.220649160226816e-07,43.64151232,5.670096145426829,Asia,4.07,3.909047619047619,LKA,182,2,SEAR,100.10857142857144,151.06,4
183,Sudan,42813237.0,1.9690171990499106e-05,0.0004995184082904079,3.1462232112932734e-05,6.493318877056645e-06,9.99924393,2.4249722711787074,Africa,3.02,4.979047619047619,SDN,183,0,EMR,63.32761904761905,23.39,2
184,Suriname,581363.0,0.00023909330315138733,0.0092076723148876,0.00020125119761663538,1.54808613551258e-05,218.45215468,49.876751795875485,America,6.77,5.372857142857142,SUR,184,1,AMR,340.34857142857146,459.56,1
185,Sweden,10230185.0,0.0008212950205690317,0.03128956123471863,0.0007344930712396697,1.1241243437924143e-05,747.0637139,119.18549021738872,Europe,11.38,9.428095238095239,SWE,185,3,EUR,4709.590476190476,6027.97,3
186,Switzerland,8544527.0,0.002556256185977293,0.043575144651073136,0.0006294087431638989,2.4928237689458996e-05,1262.05932757,170.70204696626112,Europe,11.8,10.318571428571428,CHE,186,3,EUR,7477.399523809523,10309.76,3
187,Syria,17070132.0,9.548842387393372e-06,0.0005369612841892494,3.0345400961164212e-05,8.787278270607398e-07,8.01985597,2.7349423412204725,Asia,,3.9400000000000004,SYR,187,2,,,,6
